date,region,numtotal,numtested,numactive,numtoday,ratetested
2020-04-01,Northwest Territories,2,951.0,2.0,1,21215.0
2020-04-01,Canada,9613,256933.0,7951.0,1065,6835.0
2020-04-02,British Columbia,1121,36966.0,449.0,55,7289.0
2020-04-02,Alberta,968,57096.0,781.0,214,13062.0
2020-04-02,Saskatchewan,206,11034.0,167.0,13,9395.0
2020-04-02,Manitoba,167,11098.0,155.0,40,8104.0
2020-04-02,Ontario,2793,64785.0,1909.0,401,4448.0
2020-04-02,Quebec,5518,74542.0,5258.0,907,8785.0
2020-04-02,Newfoundland and Labrador,183,2904.0,172.0,8,5568.0
2020-04-02,New Brunswick,91,4625.0,69.0,10,5954.0
2020-04-02,Nova Scotia,193,8059.0,177.0,20,8296.0
2020-04-02,Prince Edward Island,22,653.0,19.0,1,4161.0
2020-04-02,Yukon,6,742.0,3.0,1,18162.0
2020-04-02,Northwest Territories,2,969.0,2.0,0,21617.0
2020-04-02,Canada,11283,273666.0,9162.0,1670,7280.0
2020-04-03,British Columbia,1174,39926.0,498.0,53,7873.0
2020-04-03,Alberta,1075,60508.0,1057.0,107,13842.0
2020-04-03,Saskatchewan,220,11720.0,217.0,14,9979.0
2020-04-03,Manitoba,182,11650.0,180.0,15,8507.0
2020-04-03,Ontario,3255,67998.0,3188.0,462,4668.0
2020-04-03,Quebec,6101,83570.0,6040.0,583,9849.0
2020-04-03,Newfoundland and Labrador,183,3136.0,182.0,0,6013.0
2020-04-03,New Brunswick,95,5036.0,95.0,4,6483.0
2020-04-03,Nova Scotia,207,8799.0,207.0,14,9058.0
2020-04-03,Prince Edward Island,22,653.0,22.0,0,4161.0
2020-04-03,Yukon,6,753.0,6.0,0,18431.0
2020-04-03,Northwest Territories,4,1109.0,4.0,2,24740.0
2020-04-03,Canada,12537,295065.0,12350.0,1254,7850.0
2020-04-04,British Columbia,1203,40771.0,460.0,29,8039.0
2020-04-04,Alberta,1075,62520.0,1057.0,0,14302.0
2020-04-04,Saskatchewan,231,12244.0,228.0,11,10425.0
2020-04-04,Manitoba,194,12191.0,192.0,12,8902.0
2020-04-04,Ontario,3630,72674.0,3536.0,375,4989.0
2020-04-04,Quebec,6997,90227.0,6922.0,896,10634.0
2020-04-04,Newfoundland and Labrador,195,3345.0,194.0,12,6414.0
2020-04-04,New Brunswick,98,5297.0,98.0,3,6819.0
2020-04-04,Nova Scotia,236,9722.0,236.0,29,10008.0
2020-04-04,Prince Edward Island,22,839.0,22.0,0,5346.0
2020-04-04,Yukon,6,765.0,6.0,0,18725.0
2020-04-04,Northwest Territories,4,1169.0,4.0,0,26079.0
2020-04-04,Canada,13904,311971.0,13673.0,1367,8299.0
2020-04-05,British Columbia,1203,41556.0,461.0,0,8194.0
2020-04-05,Alberta,1250,63315.0,987.0,175,14484.0
2020-04-05,Saskatchewan,249,13055.0,191.0,18,11116.0
2020-04-05,Manitoba,203,12771.0,184.0,9,9326.0
2020-04-05,Ontario,4038,76027.0,2700.0,408,5219.0
2020-04-05,Quebec,7944,95955.0,7850.0,947,11309.0
2020-04-05,Newfoundland and Labrador,217,3556.0,205.0,22,6818.0
2020-04-05,New Brunswick,101,5421.0,73.0,3,6978.0
2020-04-05,Nova Scotia,262,10084.0,212.0,26,10381.0
2020-04-05,Prince Edward Island,22,839.0,16.0,0,5346.0
2020-04-05,Yukon,6,770.0,2.0,0,18848.0
2020-04-05,Northwest Territories,4,1215.0,3.0,0,27105.0
2020-04-05,Canada,15512,324791.0,12897.0,1608,8641.0
2020-04-06,British Columbia,1266,42665.0,444.0,63,8413.0
2020-04-06,Alberta,1348,64183.0,963.0,98,14683.0
2020-04-06,Saskatchewan,253,13680.0,169.0,4,11648.0
2020-04-06,Manitoba,204,13788.0,185.0,1,10068.0
