date,region,numtotal,numdeaths,numactive,numtoday,ratetotal,ratetested
2020-03-23,Canada,2091,24.0,2067.0,620,5.56,2850.0
2020-03-24,British Columbia,617,13.0,604.0,145,12.17,5187.0
2020-03-24,Alberta,358,2.0,356.0,57,8.19,7498.0
2020-03-24,Saskatchewan,72,0.0,72.0,6,6.13,4772.0
2020-03-24,Manitoba,21,0.0,21.0,1,1.53,3217.0
2020-03-24,Ontario,588,8.0,580.0,85,4.04,2384.0
2020-03-24,Quebec,1013,4.0,1009.0,385,11.94,1776.0
2020-03-24,Newfoundland and Labrador,35,0.0,35.0,11,6.71,2084.0
2020-03-24,New Brunswick,18,0.0,18.0,1,2.32,1623.0
2020-03-24,Nova Scotia,51,0.0,51.0,10,5.25,2719.0
2020-03-24,Prince Edward Island,3,0.0,3.0,0,1.91,1313.0
2020-03-24,Yukon,2,0.0,2.0,0,4.9,10183.0
2020-03-24,Northwest Territories,1,0.0,1.0,0,2.23,10730.0
2020-03-24,Canada,2792,27.0,2765.0,701,7.43,3327.0
2020-03-25,British Columbia,659,14.0,645.0,42,12.99,5589.0
2020-03-25,Alberta,419,2.0,417.0,61,9.59,8123.0
2020-03-25,Saskatchewan,86,0.0,86.0,14,7.32,5203.0
2020-03-25,Manitoba,35,0.0,35.0,14,2.56,3461.0
2020-03-25,Ontario,688,13.0,675.0,100,4.72,2611.0
2020-03-25,Quebec,1339,6.0,1333.0,326,15.78,3280.0
2020-03-25,Newfoundland and Labrador,67,0.0,67.0,32,12.85,2368.0
2020-03-25,New Brunswick,26,0.0,26.0,8,3.35,2163.0
2020-03-25,Nova Scotia,68,0.0,68.0,17,7.0,3097.0
2020-03-25,Prince Edward Island,5,0.0,5.0,2,3.19,1918.0
2020-03-25,Yukon,3,0.0,3.0,0,7.34,10183.0
2020-03-25,Northwest Territories,1,0.0,1.0,0,2.23,10730.0
2020-03-25,Canada,3409,35.0,3374.0,617,9.07,3932.0
2020-03-26,British Columbia,725,14.0,525.0,66,14.3,5963.0
2020-03-26,Alberta,486,2.0,457.0,67,11.12,8373.0
2020-03-26,Saskatchewan,95,0.0,92.0,9,8.09,5729.0
2020-03-26,Manitoba,36,0.0,35.0,1,2.63,3964.0
2020-03-26,Ontario,858,15.0,835.0,170,5.89,2830.0
2020-03-26,Quebec,1629,8.0,1619.0,290,19.2,3926.0
2020-03-26,Newfoundland and Labrador,82,0.0,82.0,15,15.72,2774.0
2020-03-26,New Brunswick,33,0.0,33.0,7,4.25,2380.0
2020-03-26,Nova Scotia,73,0.0,71.0,5,7.51,3518.0
2020-03-26,Prince Edward Island,9,0.0,8.0,4,5.73,2249.0
2020-03-26,Yukon,3,0.0,3.0,0,7.34,10183.0
2020-03-26,Northwest Territories,1,0.0,1.0,0,2.23,10730.0
2020-03-26,Canada,4043,39.0,3774.0,634,10.76,4299.0
2020-03-27,British Columbia,725,14.0,525.0,0,14.3,6218.0
2020-03-27,Alberta,542,2.0,513.0,56,12.4,8742.0
2020-03-27,Saskatchewan,104,0.0,101.0,9,8.86,6267.0
2020-03-27,Manitoba,39,1.0,37.0,3,2.85,4397.0
2020-03-27,Ontario,993,18.0,967.0,135,6.82,2997.0
2020-03-27,Quebec,2021,18.0,1974.0,392,23.82,4049.0
2020-03-27,Newfoundland and Labrador,102,0.0,102.0,20,19.56,3229.0
2020-03-27,New Brunswick,45,0.0,44.0,12,5.79,2805.0
2020-03-27,Nova Scotia,90,0.0,88.0,17,9.27,4062.0
2020-03-27,Prince Edward Island,11,0.0,10.0,2,7.01,2689.0
2020-03-27,Yukon,3,0.0,3.0,0,7.34,14760.0
2020-03-27,Northwest Territories,1,0.0,1.0,0,2.23,12158.0
2020-03-27,Canada,4689,53.0,4380.0,646,12.47,4540.0
2020-03-28,British Columbia,884,16.0,472.0,159,17.43,6218.0
2020-03-28,Alberta,542,2.0,487.0,0,12.4,8742.0
2020-03-28,Saskatchewan,134,0.0,131.0,30,11.41,6819.0
2020-03-28,Manitoba,64,1.0,62.0,25,4.67,5061.0
2020-03-28,Ontario,993,18.0,967.0,0,6.82,3147.0
2020-03-28,Quebec,2498,22.0,2447.0,477,29.44,5432.0
2020-03-28,Newfoundland and Labrador,120,0.0,116.0,18,23.01,3656.0
2020-03-28,New Brunswick,51,0.0,49.0,6,6.57,3234.0
2020-03-28,Nova Scotia,110,0.0,106.0,20,11.32,4619.0
2020-03-28,Prince Edward Island,11,0.0,10.0,0,7.01,2689.0
2020-03-28,Yukon,4,0.0,4.0,0,9.79,15690.0
2020-03-28,Northwest Territories,1,0.0,1.0,0,2.23,16508.0
2020-03-28,Canada,5425,59.0,4864.0,736,14.43,4987.0
2020-03-29,British Columbia,884,17.0,471.0,0,17.43,6601.0
2020-03-29,Alberta,621,2.0,546.0,79,14.21,10088.0
2020-03-29,Saskatchewan,134,0.0,130.0,0,11.41,7512.0
2020-03-29,Manitoba,72,1.0,70.0,8,5.26,5751.0
2020-03-29,Ontario,1355,19.0,1328.0,362,9.3,3570.0
2020-03-29,Quebec,2840,22.0,2789.0,342,33.47,6153.0
2020-03-29,Newfoundland and Labrador,135,0.0,131.0,15,25.88,4040.0
2020-03-29,New Brunswick,66,0.0,64.0,15,8.5,3665.0
2020-03-29,Nova Scotia,122,0.0,118.0,12,12.56,5131.0
2020-03-29,Prince Edward Island,11,0.0,10.0,0,7.01,3039.0
2020-03-29,Yukon,4,0.0,4.0,0,9.79,16596.0
2020-03-29,Northwest Territories,1,0.0,1.0,0,2.23,16508.0
2020-03-29,Canada,6258,61.0,5675.0,833,16.65,5598.0
2020-03-30,British Columbia,960,19.0,472.0,76,18.93,6895.0
2020-03-30,Alberta,690,8.0,588.0,69,15.78,10536.0
2020-03-30,Saskatchewan,175,2.0,159.0,41,14.9,7980.0
2020-03-30,Manitoba,96,1.0,93.0,24,7.01,6080.0
2020-03-30,Ontario,1706,33.0,1242.0,351,11.71,3715.0
2020-03-30,Quebec,3430,25.0,3376.0,590,40.42,7038.0
2020-03-30,Newfoundland and Labrador,148,1.0,140.0,13,28.38,4471.0
2020-03-30,New Brunswick,68,0.0,66.0,2,8.75,4206.0
2020-03-30,Nova Scotia,127,0.0,117.0,5,13.07,5654.0
2020-03-30,Prince Edward Island,18,0.0,17.0,7,11.47,3039.0
2020-03-30,Yukon,5,0.0,5.0,1,12.24,16840.0
2020-03-30,Northwest Territories,1,0.0,1.0,0,2.23,16508.0
2020-03-30,Canada,7437,89.0,6280.0,1179,19.78,6005.0
2020-03-31,British Columbia,970,19.0,444.0,10,19.13,7103.0
2020-03-31,Alberta,754,9.0,625.0,64,17.25,11139.0
2020-03-31,Saskatchewan,184,2.0,161.0,9,15.67,7980.0
2020-03-31,Manitoba,103,1.0,98.0,7,7.52,6301.0
2020-03-31,Ontario,1966,33.0,1399.0,260,13.5,3838.0
2020-03-31,Quebec,4162,31.0,4102.0,732,49.05,7960.0
2020-03-31,Newfoundland and Labrador,152,1.0,144.0,4,29.14,4793.0
2020-03-31,New Brunswick,70,0.0,61.0,2,9.01,4673.0
2020-03-31,Nova Scotia,147,0.0,137.0,20,15.13,6809.0
2020-03-31,Prince Edward Island,21,0.0,20.0,3,13.38,3511.0
2020-03-31,Yukon,5,0.0,5.0,0,12.24,17183.0
2020-03-31,Northwest Territories,1,0.0,1.0,0,2.23,18025.0
2020-03-31,Canada,8548,96.0,7198.0,1111,22.74,6415.0
2020-04-01,British Columbia,1066,25.0,435.0,96,21.02,7170.0
2020-04-01,Alberta,754,9.0,603.0,0,17.25,12157.0
2020-04-01,Saskatchewan,193,3.0,160.0,9,16.43,8687.0
2020-04-01,Manitoba,127,1.0,122.0,24,9.27,7164.0
2020-04-01,Ontario,2392,37.0,1666.0,426,16.42,4188.0
2020-04-01,Quebec,4611,33.0,4549.0,449,54.34,8216.0
2020-04-01,Newfoundland and Labrador,175,1.0,164.0,23,33.55,5296.0
2020-04-01,New Brunswick,81,0.0,67.0,11,10.43,5305.0
2020-04-01,Nova Scotia,173,0.0,162.0,26,17.81,7623.0
2020-04-01,Prince Edward Island,21,0.0,18.0,0,13.38,3511.0
2020-04-01,Yukon,5,0.0,2.0,0,12.24,17673.0
2020-04-01,Northwest Territories,2,0.0,2.0,1,4.46,21215.0
2020-04-01,Canada,9613,109.0,7951.0,1065,25.57,6835.0
2020-04-02,British Columbia,1121,31.0,449.0,55,22.1,7289.0
2020-04-02,Alberta,968,13.0,781.0,214,22.14,13062.0
2020-04-02,Saskatchewan,206,3.0,167.0,13,17.54,9395.0
2020-04-02,Manitoba,167,1.0,155.0,40,12.19,8104.0
2020-04-02,Ontario,2793,53.0,1909.0,401,19.17,4448.0
2020-04-02,Quebec,5518,36.0,5258.0,907,65.03,8785.0
2020-04-02,Newfoundland and Labrador,183,1.0,172.0,8,35.09,5568.0
2020-04-02,New Brunswick,91,0.0,69.0,10,11.71,5954.0
2020-04-02,Nova Scotia,193,0.0,177.0,20,19.87,8296.0
2020-04-02,Prince Edward Island,22,0.0,19.0,1,14.02,4161.0
2020-04-02,Yukon,6,0.0,3.0,1,14.69,18162.0
2020-04-02,Northwest Territories,2,0.0,2.0,0,4.46,21617.0
2020-04-02,Canada,11283,138.0,9162.0,1670,30.02,7280.0
2020-04-03,British Columbia,1174,35.0,498.0,53,23.15,7873.0
2020-04-03,Alberta,1075,18.0,1057.0,107,24.59,13842.0
2020-04-03,Saskatchewan,220,3.0,217.0,14,18.73,9979.0
2020-04-03,Manitoba,182,2.0,180.0,15,13.29,8507.0
2020-04-03,Ontario,3255,67.0,3188.0,462,22.35,4668.0
2020-04-03,Quebec,6101,61.0,6040.0,583,71.9,9849.0
2020-04-03,Newfoundland and Labrador,183,1.0,182.0,0,35.09,6013.0
2020-04-03,New Brunswick,95,0.0,95.0,4,12.23,6483.0
2020-04-03,Nova Scotia,207,0.0,207.0,14,21.31,9058.0
2020-04-03,Prince Edward Island,22,0.0,22.0,0,14.02,4161.0
2020-04-03,Yukon,6,0.0,6.0,0,14.69,18431.0
2020-04-03,Northwest Territories,4,0.0,4.0,2,8.92,24740.0
2020-04-03,Canada,12537,187.0,12350.0,1254,33.35,7850.0
2020-04-04,British Columbia,1203,38.0,460.0,29,23.72,8039.0
2020-04-04,Alberta,1075,18.0,1057.0,0,24.59,14302.0
2020-04-04,Saskatchewan,231,3.0,228.0,11,19.67,10425.0
2020-04-04,Manitoba,194,2.0,192.0,12,14.17,8902.0
2020-04-04,Ontario,3630,94.0,3536.0,375,24.92,4989.0
2020-04-04,Quebec,6997,75.0,6922.0,896,82.46,10634.0
2020-04-04,Newfoundland and Labrador,195,1.0,194.0,12,37.39,6414.0
2020-04-04,New Brunswick,98,0.0,98.0,3,12.62,6819.0
2020-04-04,Nova Scotia,236,0.0,236.0,29,24.29,10008.0
2020-04-04,Prince Edward Island,22,0.0,22.0,0,14.02,5346.0
2020-04-04,Yukon,6,0.0,6.0,0,14.69,18725.0
2020-04-04,Northwest Territories,4,0.0,4.0,0,8.92,26079.0
2020-04-04,Canada,13904,231.0,13673.0,1367,36.99,8299.0
2020-04-05,British Columbia,1203,38.0,461.0,0,23.72,8194.0
2020-04-05,Alberta,1250,23.0,987.0,175,28.6,14484.0
2020-04-05,Saskatchewan,249,3.0,191.0,18,21.2,11116.0
2020-04-05,Manitoba,203,2.0,184.0,9,14.82,9326.0
2020-04-05,Ontario,4038,119.0,2700.0,408,27.72,5219.0
2020-04-05,Quebec,7944,94.0,7850.0,947,93.62,11309.0
2020-04-05,Newfoundland and Labrador,217,1.0,205.0,22,41.61,6818.0
2020-04-05,New Brunswick,101,0.0,73.0,3,13.0,6978.0
2020-04-05,Nova Scotia,262,0.0,212.0,26,26.97,10381.0
2020-04-05,Prince Edward Island,22,0.0,16.0,0,14.02,5346.0
2020-04-05,Yukon,6,0.0,2.0,0,14.69,18848.0
2020-04-05,Northwest Territories,4,0.0,3.0,0,8.92,27105.0
2020-04-05,Canada,15512,280.0,12897.0,1608,41.27,8641.0
2020-04-06,British Columbia,1266,39.0,444.0,63,24.96,8413.0
2020-04-06,Alberta,1348,24.0,963.0,98,30.84,14683.0
2020-04-06,Saskatchewan,253,3.0,169.0,4,21.54,11648.0
2020-04-06,Manitoba,204,2.0,185.0,1,14.9,10068.0
2020-04-06,Ontario,4347,132.0,2591.0,309,29.84,5432.0
2020-04-06,Quebec,8580,121.0,7848.0,636,101.12,11799.0
2020-04-06,Newfoundland and Labrador,226,2.0,192.0,9,43.33,7240.0
2020-04-06,New Brunswick,103,0.0,73.0,2,13.26,7309.0
2020-04-06,Nova Scotia,293,0.0,229.0,31,30.16,11054.0
2020-04-06,Prince Edward Island,22,0.0,14.0,0,14.02,5346.0
2020-04-06,Yukon,7,0.0,3.0,1,17.13,18970.0
2020-04-06,Northwest Territories,5,0.0,4.0,1,11.15,27149.0
2020-04-06,Canada,16667,323.0,12728.0,1155,44.34,8960.0
2020-04-07,British Columbia,1291,43.0,465.0,25,25.46,8530.0
2020-04-07,Alberta,1373,26.0,1347.0,25,31.41,14930.0
2020-04-07,Saskatchewan,260,3.0,257.0,7,22.14,12093.0
2020-04-07,Manitoba,217,3.0,214.0,13,15.85,10216.0
2020-04-07,Ontario,4726,153.0,4573.0,379,32.44,5633.0
2020-04-07,Quebec,9340,150.0,9190.0,760,110.08,12319.0
2020-04-07,Newfoundland and Labrador,228,2.0,226.0,2,43.72,7589.0
2020-04-07,New Brunswick,105,0.0,105.0,2,13.52,7855.0
2020-04-07,Nova Scotia,310,0.0,310.0,17,31.91,11899.0
2020-04-07,Prince Edward Island,22,0.0,22.0,0,14.02,5983.0
2020-04-07,Yukon,7,0.0,7.0,0,17.13,19264.0
2020-04-07,Northwest Territories,5,0.0,5.0,0,11.15,27439.0
2020-04-07,Canada,17897,380.0,17517.0,1230,47.61,9261.0
2020-04-08,British Columbia,1336,48.0,450.0,45,26.34,8729.0
2020-04-08,Alberta,1423,29.0,1394.0,50,32.55,15278.0
2020-04-08,Saskatchewan,271,3.0,268.0,11,23.07,12822.0
2020-04-08,Manitoba,221,3.0,218.0,4,16.14,10638.0
2020-04-08,Ontario,5276,174.0,5102.0,550,36.22,5884.0
2020-04-08,Quebec,10031,175.0,9856.0,691,118.22,12878.0
2020-04-08,Newfoundland and Labrador,232,2.0,230.0,4,44.48,7928.0
2020-04-08,New Brunswick,108,0.0,108.0,3,13.9,8338.0
2020-04-08,Nova Scotia,342,1.0,341.0,32,35.21,12427.0
2020-04-08,Prince Edward Island,24,0.0,24.0,2,15.29,8583.0
2020-04-08,Yukon,7,0.0,7.0,0,17.13,19435.0
2020-04-08,Northwest Territories,5,0.0,5.0,0,11.15,27908.0
2020-04-08,Canada,19289,435.0,18854.0,1392,51.32,9630.0
2020-04-09,British Columbia,1370,50.0,462.0,34,27.01,8904.0
2020-04-09,Alberta,1451,32.0,1419.0,28,33.19,15582.0
2020-04-09,Saskatchewan,278,3.0,275.0,7,23.67,13673.0
2020-04-09,Manitoba,224,3.0,221.0,3,16.36,10638.0
2020-04-09,Ontario,5759,200.0,5559.0,483,39.54,6172.0
2020-04-09,Quebec,10912,216.0,10696.0,881,128.6,13361.0
2020-04-09,Newfoundland and Labrador,236,3.0,233.0,4,45.25,8406.0
2020-04-09,New Brunswick,111,0.0,111.0,3,14.29,8945.0
2020-04-09,Nova Scotia,373,2.0,371.0,31,38.4,13429.0
2020-04-09,Prince Edward Island,25,0.0,25.0,1,15.93,9143.0
2020-04-09,Yukon,8,0.0,8.0,1,19.58,19729.0
2020-04-09,Northwest Territories,5,0.0,5.0,0,11.15,28220.0
2020-04-09,Canada,20765,509.0,20256.0,1476,55.24,9984.0
2020-04-10,British Columbia,1410,55.0,476.0,40,27.8,9117.0
2020-04-10,Alberta,1500,39.0,1461.0,49,34.31,16032.0
2020-04-10,Saskatchewan,285,3.0,282.0,7,24.27,14434.0
2020-04-10,Manitoba,230,4.0,226.0,6,16.79,11738.0
2020-04-10,Ontario,6237,222.0,6015.0,478,42.82,6472.0
2020-04-10,Quebec,11677,241.0,11436.0,765,137.62,13933.0
2020-04-10,Newfoundland and Labrador,239,3.0,236.0,3,45.83,8667.0
2020-04-10,New Brunswick,112,0.0,112.0,1,14.42,9396.0
2020-04-10,Nova Scotia,407,2.0,405.0,34,41.9,14290.0
2020-04-10,Prince Edward Island,25,0.0,25.0,0,15.93,9143.0
2020-04-10,Yukon,8,0.0,8.0,0,19.58,19729.0
2020-04-10,Northwest Territories,5,0.0,5.0,0,11.15,29938.0
2020-04-10,Canada,22148,569.0,21579.0,1383,58.92,10412.0
2020-04-11,British Columbia,1445,58.0,482.0,35,28.49,9117.0
2020-04-11,Alberta,1569,40.0,1529.0,69,35.89,16649.0
2020-04-11,Saskatchewan,289,4.0,285.0,4,24.61,15084.0
2020-04-11,Manitoba,243,4.0,239.0,13,17.74,11844.0
2020-04-11,Ontario,6648,253.0,6395.0,411,45.64,6717.0
2020-04-11,Quebec,12292,289.0,12003.0,615,144.87,14510.0
2020-04-11,Newfoundland and Labrador,241,3.0,238.0,2,46.21,9037.0
2020-04-11,New Brunswick,112,0.0,112.0,0,14.42,9655.0
2020-04-11,Nova Scotia,428,2.0,426.0,21,44.06,14938.0
2020-04-11,Prince Edward Island,25,0.0,25.0,0,15.93,10048.0
2020-04-11,Yukon,8,0.0,8.0,0,19.58,19949.0
2020-04-11,Northwest Territories,5,0.0,5.0,0,11.15,30563.0
2020-04-11,Canada,23318,653.0,22665.0,1170,62.03,10765.0
2020-04-12,British Columbia,1445,58.0,482.0,0,28.49,9536.0
2020-04-12,Alberta,1651,44.0,1607.0,82,37.77,17091.0
2020-04-12,Saskatchewan,298,4.0,294.0,9,25.37,15751.0
2020-04-12,Manitoba,242,4.0,238.0,-1,17.67,12462.0
2020-04-12,Ontario,7049,274.0,6775.0,401,48.39,7193.0
2020-04-12,Quebec,12846,328.0,12518.0,554,151.4,14941.0
2020-04-12,Newfoundland and Labrador,242,3.0,239.0,1,46.4,9226.0
2020-04-12,New Brunswick,114,0.0,114.0,2,14.68,9989.0
2020-04-12,Nova Scotia,445,2.0,443.0,17,45.81,15780.0
2020-04-12,Prince Edward Island,25,0.0,25.0,0,15.93,10481.0
2020-04-12,Yukon,8,0.0,8.0,0,19.58,19949.0
2020-04-12,Northwest Territories,5,0.0,5.0,0,11.15,30920.0
2020-04-12,Canada,24383,717.0,23666.0,1065,64.87,11232.0
2020-04-13,British Columbia,1490,69.0,495.0,45,29.38,9735.0
2020-04-13,Alberta,1732,46.0,1686.0,81,39.62,17616.0
2020-04-13,Saskatchewan,300,4.0,296.0,2,25.54,16173.0
2020-04-13,Manitoba,246,4.0,242.0,4,17.96,12501.0
2020-04-13,Ontario,7470,291.0,7179.0,421,51.28,7535.0
2020-04-13,Quebec,13557,360.0,13197.0,711,159.78,15506.0
2020-04-13,Newfoundland and Labrador,244,3.0,241.0,2,46.78,9389.0
