date,region,numtotal,numdeaths,numactive,numtoday,numtested,ratetotal,ratetested
2020-04-01,British Columbia,1066,25.0,435.0,96,36364.0,21.02,7170.0
2020-04-01,Alberta,754,9.0,603.0,0,53141.0,17.25,12157.0
2020-04-01,Saskatchewan,193,3.0,160.0,9,10202.0,16.43,8687.0
2020-04-01,Manitoba,127,1.0,122.0,24,9811.0,9.27,7164.0
2020-04-01,Ontario,2392,37.0,1666.0,426,61009.0,16.42,4188.0
2020-04-01,Quebec,4611,33.0,4549.0,449,69711.0,54.34,8216.0
2020-04-01,Newfoundland and Labrador,175,1.0,164.0,23,2762.0,33.55,5296.0
2020-04-01,New Brunswick,81,0.0,67.0,11,4121.0,10.43,5305.0
2020-04-01,Nova Scotia,173,0.0,162.0,26,7405.0,17.81,7623.0
2020-04-01,Prince Edward Island,21,0.0,18.0,0,551.0,13.38,3511.0
2020-04-01,Yukon,5,0.0,2.0,0,722.0,12.24,17673.0
2020-04-01,Northwest Territories,2,0.0,2.0,1,951.0,4.46,21215.0
2020-04-01,Canada,9613,109.0,7951.0,1065,256933.0,25.57,6835.0
2020-04-02,British Columbia,1121,31.0,449.0,55,36966.0,22.1,7289.0
2020-04-02,Alberta,968,13.0,781.0,214,57096.0,22.14,13062.0
2020-04-02,Saskatchewan,206,3.0,167.0,13,11034.0,17.54,9395.0
2020-04-02,Manitoba,167,1.0,155.0,40,11098.0,12.19,8104.0
2020-04-02,Ontario,2793,53.0,1909.0,401,64785.0,19.17,4448.0
2020-04-02,Quebec,5518,36.0,5258.0,907,74542.0,65.03,8785.0
2020-04-02,Newfoundland and Labrador,183,1.0,172.0,8,2904.0,35.09,5568.0
2020-04-02,New Brunswick,91,0.0,69.0,10,4625.0,11.71,5954.0
2020-04-02,Nova Scotia,193,0.0,177.0,20,8059.0,19.87,8296.0
2020-04-02,Prince Edward Island,22,0.0,19.0,1,653.0,14.02,4161.0
2020-04-02,Yukon,6,0.0,3.0,1,742.0,14.69,18162.0
2020-04-02,Northwest Territories,2,0.0,2.0,0,969.0,4.46,21617.0
2020-04-02,Canada,11283,138.0,9162.0,1670,273666.0,30.02,7280.0
2020-04-03,British Columbia,1174,35.0,498.0,53,39926.0,23.15,7873.0
2020-04-03,Alberta,1075,18.0,1057.0,107,60508.0,24.59,13842.0
2020-04-03,Saskatchewan,220,3.0,217.0,14,11720.0,18.73,9979.0
2020-04-03,Manitoba,182,2.0,180.0,15,11650.0,13.29,8507.0
2020-04-03,Ontario,3255,67.0,3188.0,462,67998.0,22.35,4668.0
2020-04-03,Quebec,6101,61.0,6040.0,583,83570.0,71.9,9849.0
2020-04-03,Newfoundland and Labrador,183,1.0,182.0,0,3136.0,35.09,6013.0
2020-04-03,New Brunswick,95,0.0,95.0,4,5036.0,12.23,6483.0
2020-04-03,Nova Scotia,207,0.0,207.0,14,8799.0,21.31,9058.0
2020-04-03,Prince Edward Island,22,0.0,22.0,0,653.0,14.02,4161.0
2020-04-03,Yukon,6,0.0,6.0,0,753.0,14.69,18431.0
2020-04-03,Northwest Territories,4,0.0,4.0,2,1109.0,8.92,24740.0
2020-04-03,Canada,12537,187.0,12350.0,1254,295065.0,33.35,7850.0
2020-04-04,British Columbia,1203,38.0,460.0,29,40771.0,23.72,8039.0
2020-04-04,Alberta,1075,18.0,1057.0,0,62520.0,24.59,14302.0
2020-04-04,Saskatchewan,231,3.0,228.0,11,12244.0,19.67,10425.0
2020-04-04,Manitoba,194,2.0,192.0,12,12191.0,14.17,8902.0
2020-04-04,Ontario,3630,94.0,3536.0,375,72674.0,24.92,4989.0
